SKUCode,Updated_Requirement,ConsolidatedPriorityScore
1325221417096HURL0,36524.4,0.612
1325224716111SELS0,12507,0.98
1D25114012008QXPC0,5670.5,0.97
1D25219Z14008SXC10,972.4,0.58
1225219Z15008SXC10,4418.7,0.388
1D25218Z14008QXPC0,1955.8,0.34
1325215513073TUNE0,2690.6,0.292
1325215813079TUNE3,40828.7,0.656
1325220416092HRHT0,2336.4,0.181
1325221516098HRHT0,895.4,0.266
1325223616105TRAT0,3109.7,0.57
1325215514075TUNE0,1212.2,0.185
1325220615106SRAT0,913,0.296
1325222517102HRHT0,1047.2,0.305
1325223616109SELZ0,601.7,0.68
1225219Z15008SXC11,19963.9,0.593
1D25216814008QXPC0,13003.1,0.44
1D25214012008QXPCT,30023.4,0.86
1325218614088TTMX0,7786.9,0.236
1325218316083HURL0,1227.6,0.175
1325221318095HURL0,23293.6,0.436
1325219515091HURL2,22541.2,0.576
1325222416098VURL0,825,0.189
1D25215013008SXC10,67483.9,0.56
1325214617107MSXT0,9849.4,0.436
1D25218014010RXPCT,10286.1,0.89
1325215813079TUNE5,13636.7,0.451
1325218514086HUTR0,1101.1,0.185
1325217515084HURL2,7366.7,0.317
1325214812074TTMX0,803,0.464
1D25215013008SXC1T,9241.1,0.674
1325221416095VURP0,140.8,0.264
1325225518111HRHB0,14293.4,0.864
1325219416089VRHE0,2704.9,0.139
1325223517104TRXT0,44,0.14
1325214812074TUHL0,10663.4,0.294
1325222318098HRHE0,1353,1.188240052
1325226716123KRMT0,63.8,0.144
1325219416089HURL1,123.2,0.880799094
1325216814085TURL2,192.5,0.898123585
1325218515088TURL1,126.5,0.88162407
1325114812074TUHL0,2.2,0.425
1325219415092VUX10,2457.4,0.378
1325226616111TRHT0,746.9,0.331
1325223715104RRXT0,401.5,0.284
1325223715105TBHT0,157.3,0.237
1325222418104HUX10,981.2,0.304
1325224018097WUX10,388.3,0.371
1325223118098VUX10,682,0.438
1225225615113SRAT0,528,0.284
1325222517102HBHT0,330,0.272
1325216612077TUSP0,482.9,0.271
1325221516098HURL0,658.9,0.26
1325220516095HURP0,807.4,0.197
1325219315089VUX1E,374,0.94349725
1325226517112HRXT0,628.1,0.94349725
1325221217095VUX10,602.8,1.000695568
