SKUCode,Updated_Requirement,ConsolidatedPriorityScore
1225119Z15008SXC10,98.5,0.14
1225219Z15008SXC10,300,0.417
1225219Z15008SXC11,13588.5,0.487
1325210015109QRAT0,2,0.0565
1325214617107MSXT0,9500,0.45
1325214812074TTMX0,8359.5,0.278
1325214812074TUHL0,14925,0.264
1325214813075SUHL0,2553.5,0.185
1325215513073TUNE0,8820,0.242
1325215514075TUNE0,6433,0.196
1325215813079TUNE3,33579.5,0.789
1325215813079TUNE5,11000,0.458
1325216612077TUSP0,3021.5,0.187
1325216814085TURL2,96,0.86462587
1325217515084HURL2,7977,0.245
1325217515084HURL5,89,0.86421565
1325217613082TUNE0,1104,0.923697503
1325218316083HURL0,1623,0.191
1325218514086HUTR0,2199,0.113
1325218515088TURL1,148,0.867673216
1325218614088TTMX0,8337.5,0.25
1325219415092VUX10,1549.5,0.276
1325219416089HURL1,151,0.867849024
1325219416089VRHE0,6126.5,0.248
1325219515091HURL2,17685.5,0.561
1325220416092HRHT0,3088,0.201
1325220516095HURL4,211,0.871365193
1325220516095HURP0,528,0.307
1325220615106SRAT0,18,0.860054851
1325221317094VURL0,1582.5,0.413
1325221317094VURL1,198,0.870603357
1325221318095HURL0,95,0.0565
1325221416095VURP0,690,0.289
1325221417096HRHE0,562,0.119
1325221417096HURL0,31062,0.583
1325221417096HURP0,336,0.878690544
1325221516098HRHT0,2855,0.345
1325221715100SRAT0,5468.5,0.256
1325221715100SRHT1,645,0.202
1325222117094YLEV0,190,0.113
1325222217098YLEVY,305,0.356
1325222316099YLEVY,188.5,0.443
1325222317101YLEVY,504.5,0.358
1325222318098HRHE0,6385,1.233178947
1325222416098VURL0,1246.5,0.279
1325222517102HRHT0,336,0.291
1325223317103YLEV0,597,0.21
1325223418103HRHP0,2060,0.211
1325223516103TURL0,1.5,0.287
1325223517104TRXT0,3525,0.221
1325223616105TRAT0,4480,0.255
1325223616109SELZ0,700,0.474
1325223715104RBXT0,690,0.899435939
1325223916120NRMT0,287,0.875819007
1325224117099WLEVY,9,0.295
1325224118100WLEV0,366,0.42
1325224716111SELS0,12130,0.484
1325224716120NRMT0,29,0.35
1325225418108HRHT0,777,0.429
1325225518111HRAT0,1743,0.416
1325225518111HRAT1,513,0.406
1325225518111HRHB0,15000,0.396
1325226418110HRHP0,1110.5,0.361
1325226418110HRXT0,991,0.917075385
1325226617118QRMT0,96,0.354
1325226716123KRMT0,76,0.354
1325231015109QRMT0,1906.5,0.236
1325231015109RRXT0,10,0.364
1D25114012008QXPC0,6958.5,0.453
1D25116814008QXPC0,345,0.405
1D25118014010RXPC0,3012.5,0.248
1D25118Z14008QXPC0,4.5,0.287
1D25214012008QXPCM,496,0.441
1D25214012008QXPCT,31427.5,0.685
1D25215013008SXC10,87200.5,0.859
1D25215013008SXC1T,9921.5,0.563
1D25216814008QXPC0,12100,0.562
1D25218014010RXPCT,10848.5,0.57
1D25218Z14008QXPC0,2000,0.466
1D25219Z14008SXC10,3954,1.090715514
