SKUCode,SKU Description,Order_Type,Base Requirement,Updated_Requirement,ConsolidatedPriorityScore,
1121182020016KDEP0,8.25R20_JDE++_16PR_K_TT,MTS,5974,6571,1.05667,
1122182020016KUH50,8.25-R-20      JUH5,MTS,4560,5016,1.04326,
1122110020016KH3P0,10.00 R 20 JETWAY JUH3+,MTS,4742,5217,1.04499,
1123110020016KCUC0,10.00 R 20 16PR CUC,MTS,104,115,1.00099,
1122110020016KUH50,10.00 R 20  16 PR   JUH5,MTS,5654,6220,1.05365,
1121111020016KCXD0,11.00R20     JDC XD,MTS,6521,7173,1.06187,
1123111020016KJC30,11.00R20_JUC3_16PR_K_TT,MTS,2098,2307,1.01990,
1122111020016KJH30,11.00R20  16 PR   JUH3,MTS,91,100,1.00087,
1152111020016KVH30,11.00R20_VUH3_DOT_16PR_K_TT,MTS,91,100,1.00087,
1122111020016KUH50,11.00R20_JUH5_16PR_150/147_K_TT,MTS,5335,5869,1.05062,
1121111020016KDEP0,11.00R20_JDE++_16PR_K_TT,MTS,5016,5518,1.04759,
1121111020016K1141,11.00R20_JS 114_150/147_K_16PR_TT,MTS,912,1003,1.00865,
1122190020014KJH30,9.00-R 20   14 PR   JUH 3,MTS,564,621,1.00535,
1121190020016KDEP0,9.00-R20   16 PR   JDE++,MTS,2189,2408,1.02077,
1122190020016KUH50,9.00-R20   16 PR  JUH5,MTS,2098,2307,1.01990,
1122129A20152JULF0,295/90R20_JUH_XF_152/148_J_TT,MTS,5773,6350,1.05477,
1121129A20152JDLF0,295/90R20_JDE_XF_152/148_J_TT,MTS,7706,8477,1.07311,
1121129A20000JDEP0,295/90R20_JDE++_152/148_J_TT,MTS,2827,3110,1.02682,
1121129A20000JDEPM,295/90R20_JDE++_152/148_J_TT_OE,MTS,365,401,1.00346,
1122129A20000JUH50,295/90R20_JUH5_152/148_J_TT,MTS,4286,4715,1.04067,
1123129A20152JUCM0,295/90R20_ JETWAY JUC XM_152/148_J_TT,MTS,4241,4665,1.04023,
1121129A20152JCXD0,295/90R20_JDC XD,MTS,730,803,1.00692,
1121127A20149KDEF0,275/90R20_JDE XF_149_149/145_K__TT REG,MTS,365,401,1.00346,
