SKUCode,Updated_Requirement,ConsolidatedPriorityScore
1121110020016KDEP0,187.7,0.765
1121110020018KJDE0,177,0.900394111
1121111020016K1141,104,0.877135523
1121111020016KCXD0,11890.07,0.734
1121111020016KDEP0,626.01,0.328
1121111020016KDYD0,26,0.852283881
1121111020016KJDH0,115,0.685
1121127A20149KDEF0,312,0.943406569
1121129A20000JDEP0,670.56,0.34
1121129A20000JDEPM,199,0.907403549
1121129A20152JCXD0,219.78,0.359
1121129A20152JDLF0,28000,0.57
1121182020016KDEP0,3944.53,0.636
1121182020016KDH30,22,0.28
1121190020016KDEP0,1344.7,0.455
112121102C016LJDH0,13,0.234
112122982C016MJDL0,776.35,0.763
112122982C016MJXM0,20.79,0.1045
1122110020016KH3P0,2503,0.411
1122110020016KUH50,7098.94,0.605
1122111020016KJH30,138,0.687
1122111020016KUH50,907.83,0.242
1122127A20149KUHF0,338,0.951690449
1122129A20000JUH50,673.53,0.338
1122129A20152JULF0,24000,0.599
1122182020016KH3P0,169,0.288
1122182020016KUH50,3475.43,0.657
1122190020014KJH30,690,0.524
1122190020016KJH30,164,0.592
1122190020016KUH50,1418.01,0.6
112222562C016MUXE0,121.11,0.209
112222562C143JUXE0,108,0.878409966
112222982C016JUXE0,590.36,0.741
112222982C016MJUM0,3838,0.844
112222982C016MJXM0,1446.52,0.384
112222982C152MJXM0,2730,0.757
112222982C152MUM20,46,0.858656097
112222982C152MUXE0,1099.71,0.723
112222982C154MUXE0,94,0.873949415
1123110020016KJUC0,102,0.318
1123111020016KJC30,2103.28,0.728
1123129A20152JUCM0,715.44,0.362
1123190020016KJC20,53,0.314
112321102C016LJUC0,402,0.295
112322982C016M3061,14,0.848460551
112322982C016MUCM0,128,0.884782182
115121102C016LH5P0,148,0.342
115121102C016LJDC0,138,0.299
115121102C016LJDH0,235,0.308
115122942C018LDL30,53,0.321
115122982C016KDC30,393,0.969214043
115122982C018KCXD0,456,0.294
115123142C020LDL30,59,0.319
115123162C018LDL30,3859,0.326
115123162C018LDL3V,544,0.327
115123162C154LCXD0,16,0.849097773
115123182C018LDL30,2707,0.324
115123182C018LDL3V,74,0.337
115123182C020KCXD0,562,0.306
1152110020016KVH30,310,0.942769347
1152182020016KH3PV,181,0.901668554
115221102C016JJUX0,2,0.1045
115221102C016L301P,93,0.873630804
115221102C016LCUHC,3,0.1045
115221102C016LL2P0,102,0.306
115222562C016MTH10,1047.15,0.582
115222762C016LTH10,714,0.322
115222762C016LVT10,24,0.368
115222972C014LJTS0,5324,0.313
115222972C016LUL30,382,0.293
115222982C154MJXM0,48,0.495
115222982C154MUL40,10,0.847186108
115223162C018LUL40,1272,0.314
115223182C018LUL40,1620,0.326
115223182C018LUL4V,20,0.850372216
115223182C018ML3PV,128,0.335
115223832C020KJTL0,691,0.329
115223852C020KJTL0,846,0.334
115223852C020KUH60,4165,0.403
115223852C020KUL40,15,0.848779162
115223852C020KVH60,37,0.348
115223852C020KVTLV,3,0.301
1153110020016KCDUC,65,0.864709702
115321102C016LUC2C,8,0.1045
115322982C016MJXM0,519,0.289
115323182C018LUC40,437,0.338
115323852C020KUCD0,1685,0.339
1325219315089VUX1E,132,0.287
1325223916120NRMT0,147,0.344
1325226517112HRPG0,43,0.289
