SKUCode,Updated_Requirement,ConsolidatedPriorityScore
1325221417096HURL0,35027.9168,0.612
1325224716111SELS0,11994.56132,0.98
1D25114012008QXPC0,5438.167423,0.97
1D25219Z14008SXC10,932.5586813,0.58
1225219Z15008SXC10,4237.656361,0.388
1D25218Z14008QXPC0,1875.666669,0.34
1325215513073TUNE0,2580.360333,0.292
1325215813079TUNE3,39155.86038,0.656
1325220416092HRHT0,2240.672669,0.181
1325221516098HRHT0,858.7135369,0.266
1325223616105TRAT0,2982.288905,0.57
1325215514075TUNE0,1162.53356,0.185
1325220615106SRAT0,875.5924271,0.296
1325222517102HRHT0,1004.293965,0.305
1325223616109SELZ0,577.0470573,0.68
1225219Z15008SXC11,19145.93609,0.593
1D25216814008QXPC0,12470.33504,0.44
1D25214012008QXPCT,28793.27675,0.86
1325218614088TTMX0,7467.853965,0.236
1325218316083HURL0,1177.302589,0.175
1325221318095HURL0,22339.21113,0.436
1325219515091HURL2,21617.63857,0.576
1325222416098VURL0,791.1979763,0.189
1D25215013008SXC10,64718.93953,0.56
1325214617107MSXT0,9445.848906,0.436
1D25218014010RXPCT,9864.656368,0.89
1325215813079TUNE5,13077.97508,0.451
1325218514086HUTR0,1055.985566,0.185
1325217515084HURL2,7064.870463,0.317
1325214812074TTMX0,770.0993636,0.464
1D25215013008SXC1T,8862.472265,0.674
1325221416095VURP0,135.0311213,0.264
1325225518111HRHB0,13707.76867,0.864
1325219416089VRHE0,2594.074431,0.139
1325223517104TRXT0,42.1972254,0.14
1325214812074TUHL0,10226.49758,0.294
1325222318098HRHE0,1297.564681,1.188240052
1325226716123KRMT0,61.18597683,0.144
1325219416089HURL1,118.1522311,0.880799094
1325216814085TURL2,184.6128611,0.898123585
1325218515088TURL1,121.317023,0.88162407
1325114812074TUHL0,2.10986127,0.425
1325219415092VUX10,2356.715039,0.378
1325226616111TRHT0,716.2979012,0.331
1325223715104RRXT0,385.0496818,0.284
1325223715105TBHT0,150.8550808,0.237
1325222418104HUX10,940.9981264,0.304
1325224018097WUX10,372.3905142,0.371
1325223118098VUX10,654.0569937,0.438
1225225615113SRAT0,506.3667048,0.284
1325222517102HBHT0,316.4791905,0.272
1325216612077TUSP0,463.1145488,0.271
1325221516098HURL0,631.9034504,0.26
1325220516095HURP0,774.3190861,0.197
1325219315089VUX1E,358.6764159,0.94349725
1325226517112HRXT0,602.3653926,0.94349725
1325221217095VUX10,578.101988,1.000695568
