SKUCode,Updated_Requirement,ConsolidatedPriorityScore
1325221417096HURL0,36072.355,0.72436
1325224716111SELS0,14418.91,0.42462
1D25114012008QXPC0,3052.445,0.26747
1D25219Z14008SXC10,4131.93,0.78188
1225219Z15008SXC10,3174.71,0.98414
1D25218Z14008QXPC0,2643.85,0.17729
1325215513073TUNE0,521.455,0.2086
1325215813079TUNE3,43508.575,0.83999
1325210015109QRAT0,307.23,0.82965
1325220416092HRHT0,2459.93,0.46087
1325221516098HRHT0,656.26,0.44458
1325223616105TRAT0,1175.625,0.76901
1325221715100SRAT0,2296.91,0.99658
1325215514075TUNE0,3974.135,0.28732
1325220615106SRAT0,18.81,0.72675
1325222517102HRHT0,730.455,0.80491
1325223616109SELZ0,1223.695,0.20162
1325217613082TUNE0,1153.68,0.91275
1225219Z15008SXC11,19006.46,0.12265
1325223715104RBXT0,721.05,0.2481
1325231015109RRXT0,710.6,0.37475
1D25216814008QXPC0,14267.385,0.67394
1D25214012008QXPCT,30100.18,0.35434
1325218614088TTMX0,5833.19,0.05797
1325218316083HURL0,2239.435,0.30828
1325221318095HURL0,9765.525,0.71084
1325219515091HURL2,22181.17,0.40715
1325222416098VURL0,836,0.35449
1325222316099YLEVY,313.5,0.88385
1D25215013008SXC10,74697.645,0.25812
1325214617107MSXT0,5535.365,0.56215
1D25218014010RXPCT,12411.465,0.02097
1325215813079TUNE5,13938.21,0.42733
1325231015109QRMT0,1198.615,0.03816
1325224118100WLEV0,593.56,0.23323
1325218514086HUTR0,1201.75,0.51686
1325226418110HRHP0,578.93,0.7409
1325217515084HURL2,17063.805,0.49164
1325214812074TTMX0,1941.61,0.84116
1D25215013008SXC1T,5018.09,0.53632
1325224716120NRMT0,30.305,0.42541
1325221417096HURP0,351.12,0.19748
1325221416095VURP0,553.85,0.99791
1325221317094VURL0,1034.55,0.33209
1325225518111HRHB0,16572.655,0.04204
1325223418103HRHP0,1034.55,0.93504
1325219416089VRHE0,894.52,0.73701
1325223517104TRXT0,1351.185,0.53894
1325214812074TUHL0,12813.79,0.49599
1325226418110HRXT0,1035.595,0.2762
1D25118014010RXPC0,798.38,0.5255
1325222318098HRHE0,6672.325,0.55401
1325223916120NRMT0,299.915,0.11946
1325226716123KRMT0,523.545,0.37224
1325220516095HURL4,220.495,0.54508
1325221317094VURL1,206.91,0.06449
1325219416089HURL1,157.795,0.59786
1325216814085TURL2,100.32,0.91614
1325218515088TURL1,154.66,0.51059
1325217515084HURL5,93.005,0.06863
