SKUCode,Updated_Requirement,ConsolidatedPriorityScore
115222562C016MTH10,383.9,0.651
115222762C016LTH10,563.2,0.67919
1122190020014KJH30,24.2,0.69673
1123190020016KJC20,156.2,0.53528
1122110020016KH3P0,6161.1,0.61242
115223852C020KUH60,1203.4,0.84144
115223852C020KVH60,233.2,0.02245
1122110020016KUH50,6978.4,0.03562
115222972C014LJTS0,2340.8,0.30337
1121110020018KJDE0,194.7,0.92379
1123110020016KJUC0,533.5,0.07862
1122190020016KUH50,1443.2,0.23906
112122982C016MJDL0,2218.7,0.73753
115121102C016LJDH0,990,0.33127
112222982C016MJUM0,3407.8,0.08889
115121102C016LH5P0,228.8,0.60297
112321102C016LJUC0,726,0.88483
115223832C020KJTL0,171.6,0.86729
115123162C018LDL30,1177,0.73293
115223162C018LUL40,72.6,0.61828
1122182020016KH3P0,295.9,0.03341
1121129A20000JDEP0,3694.9,0.51109
1122129A20000JUH50,4150.3,0.03743
115123182C018LDL30,1162.7,0.23678
115223182C018LUL40,800.8,0.80264
115221102C016LL2P0,160.6,0.63738
115222972C016LUL30,61.6,0.01282
1121190020016KDEP0,2219.8,0.75684
1122111020016KUH50,3951.2,0.33242
115221102C016L301P,102.3,0.79494
115322982C016MJXM0,396,0.44495
1121182020016KDEP0,6759.5,0.52852
1122182020016KUH50,4907.1,0.37835
115222762C016LVT10,220,0.01001
115323182C018LUC40,1059.3,0.09081
1121111020016KDEP0,2512.4,0.71123
1153110020016KCDUC,71.5,0.62124
115323852C020KUCD0,363,0.55637
115223182C018LUL4V,22,0.31864
115122982C016KDC30,432.3,0.93651
1123129A20152JUCM0,4298.8,0.23527
115123142C020LDL30,26.4,0.41905
1152182020016KH3PV,199.1,0.49925
112222982C016MJXM0,5123.8,0.72912
112222562C016MUXE0,1013.1,0.17186
112222982C016JUXE0,1177,0.30931
1121129A20152JDLF0,4787.2,0.49548
1122129A20152JULF0,3319.8,0.46699
1121111020016KCXD0,6660.5,0.78244
1123111020016KJC30,2571.8,0.65595
1121127A20149KDEF0,343.2,0.81664
1152110020016KVH30,341,0.52089
112122982C016MJXM0,761.2,0.33752
115123182C018LDL3V,319,0.58877
1122127A20149KUHF0,371.8,0.532
1121111020016K1141,114.4,0.49377
112222982C152MUXE0,1159.4,0.52512
112222982C152MJXM0,4010.6,0.38978
112222562C143JUXE0,118.8,0.7443
115223182C018ML3PV,332.2,0.81251
112222982C154MUXE0,103.4,0.11362
115121102C016LJDC0,235.4,0.35977
115122982C018KCXD0,669.9,0.18598
115123182C020KCXD0,474.1,0.5222
112322982C016M3061,15.4,0.39205
115123162C018LDL3V,772.2,0.70913
112322982C016MUCM0,140.8,0.84336
1121129A20000JDEPM,218.9,0.92144
112222982C152MUM20,50.6,0.20346
115223852C020KUL40,16.5,0.8591
1121111020016KDYD0,28.6,0.73753
115123162C154LCXD0,17.6,0.33127
115222982C154MUL40,11,0.08889
