SKUCode,Updated_Requirement,ConsolidatedPriorityScore
115222562C016MTH10,1570.8,0.44157
1122190020014KJH30,696.465,0.61229
1122110020016KH3P0,7661.115,0.62765
115223852C020KUH60,877.8,0.68671
1122190020016KJH30,43.89,0.02579
1122110020016KUH50,6204.66,0.23828
115221102C016LTH10,577.5,0.91095
115222972C014LJTS0,1917.3,0.59495
1122190020014KUH50,2.31,0.68098
1122190020016KUH50,2072.07,0.53515
115221102C016JJUX0,487.41,0.61739
112122982C016MJDL0,1913.835,0.20003
115121102C016LJDH0,915.915,0.81068
112222982C016MJUM0,5564.79,0.03872
112321102C016LJUC0,697.62,0.26542
115123162C018LDL30,1108.8,0.7553
115223162C018LUL40,173.25,0.55736
115221102C016LJTS0,239.085,0.13494
1121129A20000JDEP0,1046.43,0.07647
1122129A20000JUH50,3388.77,0.0994
115123182C018LDL30,161.7,0.44072
115223182C018LUL40,168.63,0.95163
115221102C016LL2P0,591.36,0.83734
115222972C016LUL30,239.085,0.33599
115221102C016LCUHC,411.18,0.38671
1121190020016KDEP0,1403.325,0.91019
1122111020016KUH50,5147.835,0.77295
115322982C016MJXM0,967.89,0.31293
1121182020016KDEP0,6843.375,0.00486
1122182020016KUH50,5518.59,0.24282
115323182C018LUC40,669.9,0.44906
1121111020016KDEP0,4264.26,0.05136
115323852C020KUCD0,136.29,0.93434
115223182C018LUL4V,180.18,0.22016
115122982C016KDC30,451.605,0.83714
112222982C016M2101,2.31,0.4854
1123129A20152JUCM0,4486.02,0.24628
115123142C020LDL30,130.515,0.43148
112222982C016MJXM0,6010.62,0.3807
112222562C016MUXE0,2714.25,0.2754
112222982C016JUXE0,1533.84,0.2549
115122942C018LDL30,354.585,0.39975
115321102C016LUC2C,489.72,0.79219
1121129A20152JDLF0,7374.675,0.59283
1122129A20152JULF0,5587.89,0.2326
1121111020016KCXD0,7022.4,0.08634
1123111020016KJC30,2462.46,0.23245
1121127A20149KDEF0,598.29,0.237
112122982C016MJXM0,732.27,0.94789
1122127A20149KUHF0,442.365,0.88326
112222982C152MUXE0,1478.4,0.71424
112222982C152MJXM0,4060.98,0.21403
112222562C143JUXE0,1409.1,0.49638
115121102C016LJDC0,65.835,0.00285
115122982C018KCXD0,3.465,0.00679
115123182C020KCXD0,736.89,0.9183
112322982C016M3051,329.175,0.13728
112322982C016M3061,318.78,0.92893
115123162C018LDL3V,553.245,0.34988
112222982C152MUM20,15.015,0.01074
115222982C154MUL40,12.705,0.16763
