WCNAME,"Current MouldNo",Sapcode,"SKU Description","Mould life","Target Life"
3609,GC01#GC02,1D25214012008QXPCT,"145 R12 ULTIMA XPC TL TATA",1774,NULL
3610,GC07#GC09,1D25214012008QXPCT,"145 R12 ULTIMA XPC TL TATA",1779,NULL
3611,GC12#GC13,1D25214012008QXPCT,"145 R12 ULTIMA XPC TL TATA",1561,NULL
3612,GC08#GC15,1D25214012008QXPCT,"145 R12 ULTIMA XPC TL TATA",539,NULL
3613,HM03#HM04,1D25214012008QXPCT,"145 R12 ULTIMA XPC TL TATA",323,NULL
3614,GC07#GC09,1D25214012008QXPCT,"145 R12 ULTIMA XPC TL TATA",2169,NULL
3615,GC12#GC05,1D25214012008QXPCT,"145 R12 ULTIMA XPC TL TATA",581,NULL
3616,GC03#GC06,1D25214012008QXPCT,"145 R12 ULTIMA XPC TL TATA",1901,NULL
4501,HM05#HM07,1D25215013008SXC10,"155 R13 C ULTIMA XPC1 90/89 S TL (MSIL)",489,NULL
4502,HM01#HM02,1325215513073TUNE0,"155/65 R 13 ULTIMA NEO",649,NULL
4503,GC03#HM12,1D25215013008SXC10,"155 R13 C ULTIMA XPC1 90/89 S TL (MSIL)",2846,NULL
4504,HM06#HM19,1D25215013008SXC10,"155 R13 C ULTIMA XPC1 90/89 S TL (MSIL)",45,NULL
4505,GC04#GC07,1325215813079TUNE5,"155/80 R13 ULTIMA NEO LRR",714,NULL
4506,GC02#GC10,1D25215013008SXC10,"155 R13 C ULTIMA XPC1 90/89 S TL (MSIL)",869,NULL
4507,0,1D25215013008SXC10,"155 R13 C ULTIMA XPC1 90/89 S TL (MSIL)",0,NULL
4508,GC09#GC10,1325215813079TUNE5,"155/80 R13 ULTIMA NEO LRR",1487,NULL
4509,HM03#HM04,1325215513073TUNE0,"155/65 R 13 ULTIMA NEO",249,NULL
4510,HM08#HM16,1D25215013008SXC10,"155 R13 C ULTIMA XPC1 90/89 S TL (MSIL)",877,NULL
4511,GC01#GC02,1325215513073TUNE0,"155/65 R 13 ULTIMA NEO",624,NULL
4512,HM09#HM22,1D25215013008SXC10,"155 R13 C ULTIMA XPC1 90/89 S TL (MSIL)",877,NULL
4513,GC08#GC15,1D25214012008QXPCT,"145 R12 ULTIMA XPC TL TATA",1440,NULL
4514,HM14#HM25,1D25215013008SXC10,"155 R13 C ULTIMA XPC1 90/89 S TL (MSIL)",878,NULL
4515,HM03#HM04,1325215513073TUNE0,"155/65 R 13 ULTIMA NEO",693,NULL
4601,HM01#HM02,1325218614088TTMX0,"185/70 R14 TAXIMAX",954,NULL
4602,HMI08#HMI11,1325214812074TUHL0,"145/80 R 12 ULTIMA HI LIFE TL",1998,NULL
4603,HM01#HM02,1325215514075TUNE0,"155/65 R14 ULTIMA NEO",703,NULL
4604,SX02#SX03,1325214617107MSXT0,"T145/70 R17 STAR XT",2201,NULL
4605,GC01#GC05,1325214812074TUHL0,"145/80 R 12 ULTIMA HI LIFE TL",1144,NULL
4606,GC10#GC16,1D25214012008QXPCT,"145 R12 ULTIMA XPC TL TATA",1225,NULL
4607,GC01#GC02,1D25214012008QXPCT,"145 R12 ULTIMA XPC TL TATA",2658,NULL
